curso,periodo,modelo,n,f1_pos_media,f1_pos_ci95_low,f1_pos_ci95_high
Ciências Economicas - Integral,3,XGBoost,30,0.6348881974903716,0.6050737820669954,0.6647026129137479
Ciências Economicas - Integral,3,LightGBM,30,0.6555836698362563,0.6202365762713243,0.6909307634011882
Ciências Economicas - Integral,3,CatBoost,30,0.6636970766570403,0.6369808665634916,0.6904132867505889
Ciências Economicas - Integral,3,Comite_Arvores_XGB_LGBM_CatBoost,30,0.6613389666583009,0.6299964065796233,0.6926815267369786
