curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Farmacia,3,1,XGBoost,1.0,0.8774509803921569,0.8666322760834336,0.5283018867924528,0.7925145348837209,0.46544464186461876,0.11805986685193795,0.12058013030191397,5.296875,1337,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7777777777777778,,,
Farmacia,3,1,LightGBM,1.0,0.8725490196078431,0.8571979406287656,0.48,0.7535428779069768,0.4408927875810195,0.12469122431386342,0.1173635398879124,5.296875,1337,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7777777777777778,,,
Farmacia,3,1,CatBoost,1.0,0.8627450980392157,0.8519749393793927,0.48148148148148145,0.7993277616279069,0.43623813761216035,0.11844944969923273,0.12630278013306656,5.296875,1337,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7777777777777778,,,
Farmacia,3,1,Comite_Arvores_XGB_LGBM_CatBoost,0.9999999999995712,0.8823529411764706,0.8622599652399994,0.4782608695652174,0.8055050872093024,0.5306990527266963,0.11645072632301962,0.11464158455397434,5.296875,1337,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7777777777777778,0.33333333333319043,0.33333333333319043,0.33333333333319043
Farmacia,3,2,XGBoost,0.5,0.9068627450980392,0.9049750953435658,0.6885245901639344,0.8809047965116279,0.6957482846377929,0.1060207238607623,0.07362372499277553,5.296875,1338,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7272727272727273,,,
Farmacia,3,2,LightGBM,0.5,0.8284313725490197,0.843053662614258,0.5783132530120482,0.8414789244186047,0.5500492052881758,0.11110453975140004,0.09264611898443302,5.296875,1338,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.6923076923076923,,,
Farmacia,3,2,CatBoost,0.5,0.9019607843137255,0.9006628569757197,0.6774193548387096,0.8686409883720929,0.6936237939387525,0.11745408045828576,0.07507589625833676,5.296875,1338,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.7619047619047619,,,
Farmacia,3,2,Comite_Arvores_XGB_LGBM_CatBoost,0.49999999999977074,0.9166666666666666,0.9137325368688586,0.711864406779661,0.8733648255813953,0.7033408408104815,0.10839104290400227,0.07475101249882886,5.296875,1338,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.8,0.33338421615005326,0.31735612883514686,0.3492596550143415
Farmacia,3,3,XGBoost,0.5,0.9019607843137255,0.8923009134509466,0.6153846153846154,0.8421148255813953,0.6295933403066696,0.0933172169923169,0.09050596556345424,5.296875,1339,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.5882352941176471,,,
Farmacia,3,3,LightGBM,0.2857142857142857,0.8235294117647058,0.8368723098995696,0.55,0.8463844476744186,0.5224231121314229,0.10495043101998605,0.10278208618859856,5.296875,1339,475,400,75,0.15789473684210525,72,61,11,0.1527777777777778,204,172,32,0.1568627450980392,0.6086956521739131,,,
