curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Enfermagem,3,1,XGBoost,0.4285714328289032,0.8194444444444444,0.8173311764519301,0.5806451612903226,0.7434430803571429,0.5308235818001443,0.14583461220201624,0.1485484784378782,3.492063492063492,1337,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6086956521739131,,,
Enfermagem,3,1,LightGBM,0.3333333333333333,0.7916666666666666,0.7977282656181739,0.5714285714285714,0.755161830357143,0.5333119526809506,0.14813715923536894,0.1471041412795421,3.492063492063492,1337,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6666666666666666,,,
Enfermagem,3,1,CatBoost,0.5,0.7222222222222222,0.7378917378917379,0.48717948717948717,0.7315848214285715,0.5160714556294799,0.1449561456359817,0.1567587463875741,3.492063492063492,1337,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.7586206896551724,,,
Enfermagem,3,1,Comite_Arvores_XGB_LGBM_CatBoost,0.379887682860403,0.7569444444444444,0.7668401118544477,0.5205479452054794,0.7516741071428571,0.5658680255449642,0.13983933341021074,0.14221538925016605,3.492063492063492,1337,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.7857142857142857,0.2992628992627522,0.32776412776396663,0.37297297297278964
Enfermagem,3,2,XGBoost,0.5,0.8472222222222222,0.8268518518518518,0.5416666666666666,0.8129185267857143,0.5934344075939832,0.14709605153985839,0.12233000598203375,3.492063492063492,1338,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.5882352941176471,,,
Enfermagem,3,2,LightGBM,0.3333333333333333,0.8055555555555556,0.8055555555555556,0.5625,0.7845982142857143,0.6295640431579843,0.14611689019870475,0.11462931607325334,3.492063492063492,1338,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6363636363636364,,,
Enfermagem,3,2,CatBoost,1.0,0.8472222222222222,0.8187613843351548,0.5,0.842494419642857,0.6588927236131183,0.14252849187306152,0.11125521310438691,3.492063492063492,1338,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.625,,,
Enfermagem,3,2,Comite_Arvores_XGB_LGBM_CatBoost,0.2627695467855239,0.8055555555555556,0.8055555555555556,0.5625,0.8429129464285714,0.6661790871886142,0.14108965377951085,0.11038123202981892,3.492063492063492,1338,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6363636363636364,0.3180339718104533,0.3440549331403994,0.3379110950486066
Enfermagem,3,3,XGBoost,0.3333333432674408,0.8263888888888888,0.8090234687405201,0.5098039215686274,0.7746930803571429,0.5472481755860239,0.1474922837591256,0.13218435499023715,3.492063492063492,1339,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6666666666666666,,,
Enfermagem,3,3,LightGBM,0.3333333333333333,0.8333333333333334,0.8183398522381573,0.5384615384615384,0.7756696428571428,0.5596628732299149,0.1476443574367501,0.12791751059315526,3.492063492063492,1339,333,259,74,0.2222222222222222,50,39,11,0.22,144,112,32,0.2222222222222222,0.6363636363636364,,,
