curso,periodo,modelo,n,f1_pos_media,f1_pos_ci95_low,f1_pos_ci95_high
Direito - Integral,3,XGBoost,30,0.2334177105162689,0.20665249156591667,0.26018292946662114
Direito - Integral,3,LightGBM,30,0.28249688972102155,0.2540818981113637,0.3109118813306794
Direito - Integral,3,CatBoost,30,0.2688446010382168,0.24531804031108106,0.2923711617653525
Direito - Integral,3,Comite_Arvores_XGB_LGBM_CatBoost,30,0.2783835706291729,0.24832696976091945,0.30844017149742636
