curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Ciências da Computação - Noturno,4,20,XGBoost,0.5,0.94,0.939828641370869,0.9473684210526315,0.9521103896103895,0.9427393808982479,0.08117388617742906,0.07246832166421831,1.5,1356,116,51,65,0.5603448275862069,18,8,10,0.5555555555555556,50,22,28,0.56,0.9,,,
Ciências da Computação - Noturno,4,20,LightGBM,0.6666666666666666,0.94,0.939330301777594,0.9491525423728814,0.9594155844155845,0.9370909609484672,0.07489929574910667,0.06768651682608587,1.5,1356,116,51,65,0.5603448275862069,18,8,10,0.5555555555555556,50,22,28,0.56,0.9,,,
Ciências da Computação - Noturno,4,20,CatBoost,1.0,0.94,0.939828641370869,0.9473684210526315,0.9415584415584415,0.9205105239587998,0.09135241951190923,0.06254634933571525,1.5,1356,116,51,65,0.5603448275862069,18,8,10,0.5555555555555556,50,22,28,0.56,0.9473684210526315,,,
Ciências da Computação - Noturno,4,20,Comite_Arvores_XGB_LGBM_CatBoost,0.7270114942526089,0.92,0.92,0.9285714285714286,0.963474025974026,0.944174842160745,0.08052694889008422,0.05925142789783113,0.7818181818181819,1356,116,51,65,0.5603448275862069,18,8,10,0.5555555555555556,50,22,28,0.56,0.9473684210526315,0.3275862068964325,0.3275862068964325,0.344827586206771
