nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_outra,etnia_parda,etnia_preta
653.05,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
784.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
712.8,1,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0
616.44,0,1,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
544.1,0,1,0,0,1,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
570.36,0,1,0,0,1,0,1,1,0,1,0,0,3,2,0,1,0,0,0,1,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
649.24,0,1,0,0,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
482.2,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
460.2,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,5,0,0,1,0,1,0,1,0,0,0
726.42,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0
686.04,0,1,0,0,1,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0
694.18,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
688.1,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0
725.18,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
648.9,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,1,0
665.24,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0
530.5,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
575.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0
572.48,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,1
698.0,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
639.28,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,5,0,0,2,0,1,0,1,0,1,0
509.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
723.46,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
828.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
692.75,1,0,0,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
667.6,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0
618.86,0,1,0,0,1,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
664.7,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
426.5,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1
659.02,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,4,2,0,2,0,0,0,1,0,1,0
590.94,0,1,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,1,0
488.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0
657.02,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
597.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
710.64,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
902.3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
922.2,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
498.5,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
735.78,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1
788.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
653.94,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0
705.12,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,0
657.92,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0
738.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
651.6,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,1,0,1,0,1,0,1,3,1,0,1,0,1,0,1,0,0,0
714.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
632.9,0,1,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0
647.8,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,1,0
900.85,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
903.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
698.25,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
794.98,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
695.48,0,1,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
637.3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
748.22,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
673.26,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0
742.56,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
733.02,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
653.28,0,1,0,0,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
602.95,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
719.2,1,0,0,0,1,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
524.0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0
539.3,1,0,0,0,0,1,0,0,0,1,0,0,3,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
720.42,0,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
541.4,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
835.75,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
661.5,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
745.3,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,5,0,0,1,0,1,0,1,0,0,0
