modelo,n,f1_pos_media,f1_pos_dp,f1_pos_max,f1_pos_min,f1_pos_val_media,f1_pos_val_dp,f1_pos_val_max,f1_pos_val_min,f1_weighted_media,f1_weighted_dp,f1_weighted_max,f1_weighted_min,acuracia_media,acuracia_dp,acuracia_max,acuracia_min,roc_auc_media,roc_auc_dp,roc_auc_max,roc_auc_min,avg_precision_media,avg_precision_dp,avg_precision_max,avg_precision_min,brier_pre_media,brier_pre_dp,brier_pre_max,brier_pre_min,brier_cal_media,brier_cal_dp,brier_cal_max,brier_cal_min,threshold_media,threshold_dp,threshold_max,threshold_min
XGBoost,30,0.4002421202793602,0.10120016186805324,0.5833333333333334,0.13333333333333333,0.6291407228249334,0.16367736781438827,0.8888888888888888,0.36363636363636365,0.6753385274017593,0.12615083085735534,0.8148148148148148,0.18835978835978834,0.6777777777777778,0.12665006027883616,0.8333333333333334,0.2777777777777778,0.6725198412698413,0.05797553747156052,0.8015873015873016,0.5565476190476192,0.37022827637999955,0.06712261090045105,0.4994771557271557,0.24983344689227044,0.19247895871739715,0.028230590681383894,0.2522154842230114,0.14929055031660762,0.1889994437150188,0.0406134832821022,0.2879297674366733,0.13736282569670383,0.5659812410672506,0.31641737862837127,1.0,0.1666666865348816
LightGBM,30,0.4006523330176552,0.147933918190232,0.6956521739130435,0.0,0.6284143960614549,0.13659824318821617,0.8571428571428571,0.36363636363636365,0.6806208484069697,0.137642241662879,0.8683148621767548,0.0808080808080808,0.6870370370370371,0.13045153898585046,0.8703703703703703,0.2222222222222222,0.6829695767195767,0.0820989467300514,0.8511904761904763,0.5,0.3879765316013178,0.10030414264112501,0.6528030303030303,0.2222222222222222,0.19279764575895592,0.027872063194016795,0.24831476149072745,0.14368416105051757,0.18379495651628214,0.04978655238383606,0.36886079662348537,0.11893536763551567,0.5391906241906241,0.2832319621585284,1.0,0.2222222222222222
CatBoost,30,0.45241317642938583,0.11082177031789171,0.631578947368421,0.13333333333333333,0.6812851962851965,0.1210879426859466,1.0,0.46153846153846156,0.7352714207489055,0.07542051961666996,0.8569551218871149,0.47792684325192064,0.7351851851851854,0.08674761440751856,0.8703703703703703,0.46296296296296297,0.7021825396825396,0.08188957833710245,0.8452380952380951,0.5575396825396826,0.40502452778814113,0.09047174884710792,0.639116271659375,0.2546296296296296,0.18789440836500274,0.02085307207694332,0.22539430975976166,0.14346796988512273,0.1782945129844771,0.0345626950517649,0.24970532903857232,0.11387187891704043,0.537037037037037,0.23185928353045615,1.0,0.25
Comite_Arvores_XGB_LGBM_CatBoost,30,0.4086319102610503,0.14293185783223647,0.6060606060606061,0.0,0.7251755651755653,0.13086709675144398,1.0,0.5,0.7351732536971777,0.049052129227369845,0.8148148148148148,0.5716557344464321,0.7432098765432099,0.06118277379438946,0.8148148148148148,0.5370370370370371,0.7209656084656085,0.0714377259957598,0.8531746031746033,0.5773809523809524,0.46650301319358817,0.09453946602923154,0.6984692494659274,0.31878911530593074,0.18114499974886905,0.02255464061366044,0.21884943396929196,0.1454611831045524,0.17100975479863606,0.03451505644448284,0.25467661691519244,0.11760657636499766,0.481573866140641,0.21911865505277614,0.9999999999994998,0.20167565131734766
