modelo,n,f1_pos_media,f1_pos_dp,f1_pos_max,f1_pos_min,f1_pos_val_media,f1_pos_val_dp,f1_pos_val_max,f1_pos_val_min,f1_weighted_media,f1_weighted_dp,f1_weighted_max,f1_weighted_min,acuracia_media,acuracia_dp,acuracia_max,acuracia_min,roc_auc_media,roc_auc_dp,roc_auc_max,roc_auc_min,avg_precision_media,avg_precision_dp,avg_precision_max,avg_precision_min,brier_pre_media,brier_pre_dp,brier_pre_max,brier_pre_min,brier_cal_media,brier_cal_dp,brier_cal_max,brier_cal_min,threshold_media,threshold_dp,threshold_max,threshold_min
XGBoost,30,0.6926610911327679,0.08261282183423431,0.8333333333333334,0.5,0.8394011544011545,0.11620179568254813,1.0,0.6666666666666666,0.6201212419471654,0.14508389146395922,0.8260869565217391,0.35776397515527947,0.6594202898550725,0.09791997641512387,0.8260869565217391,0.4782608695652174,0.7265151515151516,0.0983361348062439,0.9393939393939393,0.5,0.7296687581005231,0.1030951286508369,0.9538461538461538,0.5217391304347826,0.19503400171909346,0.039579438976851164,0.28672434362088245,0.11803147867980925,0.24626347078227293,0.06360442662931712,0.391304347826087,0.11111322074205099,0.6919047643740972,0.23411320531718996,1.0,0.3333333432674408
LightGBM,30,0.6748517467809704,0.09275989957266505,0.8695652173913043,0.4,0.8390307840307841,0.1181606844013606,1.0,0.6666666666666666,0.6168335611620442,0.13786936748085746,0.8695652173913043,0.35776397515527947,0.6565217391304348,0.0872097761352486,0.8695652173913043,0.5217391304347826,0.7223484848484848,0.09567749936268986,0.890151515151515,0.5,0.7282867959939235,0.10423706514037995,0.8964803312629399,0.5217391304347826,0.21157487313303494,0.0369388602691885,0.264413708687612,0.12455836283448073,0.24529271209081108,0.06823219936213064,0.38164251207729466,0.12275632992769944,0.68984126984127,0.23495623925816297,1.0,0.3333333333333333
CatBoost,30,0.702974618996555,0.11075441451879263,0.8571428571428571,0.375,0.8792784992784992,0.11521781807321525,1.0,0.6666666666666666,0.6649963421087534,0.13659614051087887,0.8680745341614906,0.35776397515527947,0.6942028985507246,0.0975331093240072,0.8695652173913043,0.5217391304347826,0.761237373737374,0.07909010684346146,0.9242424242424243,0.5984848484848485,0.7642149660727616,0.09178278202599244,0.9285714285714286,0.5755660402399534,0.19357955064899623,0.032801802504989964,0.2605601517505621,0.11781782828111567,0.22960528096820015,0.06740785508206777,0.36825004259878996,0.10915287818401678,0.7470634920634921,0.23787266051462785,1.0,0.3333333333333333
Comite_Arvores_XGB_LGBM_CatBoost,30,0.6741286136888167,0.14257925246000508,0.8571428571428571,0.2857142857142857,0.9018614718614718,0.09954276842640145,1.0,0.6666666666666666,0.6712366720548963,0.12131194841755152,0.8680745341614906,0.35776397515527947,0.6942028985507247,0.09623232058570451,0.8695652173913043,0.5217391304347826,0.790909090909091,0.07839719570142521,0.9431818181818181,0.6287878787878788,0.8224622399334395,0.09020139319316929,0.9564777327935223,0.6205748850056629,0.18846724842325338,0.029005156733088167,0.24715699089611143,0.11680870099613623,0.21447791221376294,0.05601337353793278,0.3253441329996689,0.10691582335717112,0.7007324621156503,0.2030717118382999,0.9999999999996667,0.3024390253714237
