curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Ciências Economicas - Noturno,4,1,XGBoost,0.5,0.7439024390243902,0.7112688270838119,0.5116279069767442,0.7451923076923078,0.6543676194680499,0.17268487489515272,0.18518332092929324,1.7,1337,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,1,LightGBM,0.38461538461538464,0.6463414634146342,0.6423914425294663,0.6588235294117647,0.7942307692307693,0.6576104033725985,0.1747208490616484,0.1737906310238843,1.7,1337,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,1,CatBoost,0.8571428571428571,0.7195121951219512,0.683770620139413,0.46511627906976744,0.8102564102564103,0.6647750632799324,0.19122671546011571,0.17477673834389737,1.7,1337,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,1,Comite_Arvores_XGB_LGBM_CatBoost,0.31410256792321756,0.6463414634146342,0.6423914425294663,0.6588235294117647,0.8416666666666667,0.7709646182118102,0.17593631812345656,0.16627786536581943,1.7,1337,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,0.3333333333331666,0.3333333333331666,0.3333333333331666
Ciências Economicas - Noturno,4,2,XGBoost,0.7142857313156128,0.6951219512195121,0.6978530605673807,0.6031746031746031,0.7451923076923077,0.6416517204559,0.1951056952339817,0.2102909615417955,1.7,1338,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.631578947368421,,,
Ciências Economicas - Noturno,4,2,LightGBM,0.5,0.7195121951219512,0.7160630091298453,0.5964912280701754,0.7516025641025641,0.6464571451684666,0.19521971454506,0.1895182389721985,1.7,1338,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,2,CatBoost,0.6,0.6829268292682927,0.6874781188003268,0.6578947368421053,0.7775641025641026,0.6490856507358278,0.19764035995806356,0.1761936026266092,1.7,1338,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.7407407407407407,,,
Ciências Economicas - Noturno,4,2,Comite_Arvores_XGB_LGBM_CatBoost,0.40008979940205436,0.6829268292682927,0.6874781188003268,0.6578947368421053,0.7907051282051283,0.708966855400064,0.18681067010429514,0.17789224463686,1.7,1338,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.7407407407407407,0.30975143403426486,0.3269598470361684,0.36328871892907605
Ciências Economicas - Noturno,4,3,XGBoost,0.3333333432674408,0.6097560975609756,0.6120789779326364,0.6,0.710897435897436,0.5932943064349844,0.17891998514382745,0.20664888885249091,1.7,1339,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6451612903225806,,,
Ciências Economicas - Noturno,4,3,LightGBM,0.375,0.6707317073170732,0.6760514750862234,0.5970149253731343,0.7445512820512821,0.6551260314081737,0.18548075569787445,0.19842077607189723,1.7,1339,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,3,CatBoost,0.42857142857142855,0.6097560975609756,0.6139447619878704,0.5897435897435898,0.7445512820512821,0.6414466955073832,0.1823864174235622,0.1779960188186926,1.7,1339,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6896551724137931,,,
Ciências Economicas - Noturno,4,3,Comite_Arvores_XGB_LGBM_CatBoost,0.42166411160190187,0.7560975609756098,0.7541933129155625,0.6551724137931034,0.7673076923076924,0.7353949698316133,0.1740534496020039,0.17843494393012857,1.7,1339,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.7,0.3223416080028029,0.333086328269563,0.3445720637271342
Ciências Economicas - Noturno,4,4,XGBoost,0.6000000238418579,0.8048780487804879,0.796837309032431,0.6923076923076923,0.8743589743589744,0.7577235772357723,0.13639881476769586,0.1473671183793079,1.7,1340,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.631578947368421,,,
Ciências Economicas - Noturno,4,4,LightGBM,0.5,0.7682926829268293,0.7533663730603588,0.6122448979591837,0.8913461538461539,0.7681145959527976,0.15651040915793002,0.15205617401829144,1.7,1340,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,4,CatBoost,0.3333333333333333,0.8048780487804879,0.8084365038179256,0.7714285714285715,0.8842948717948718,0.7748729070240699,0.1811482733680653,0.14528041809785058,1.7,1340,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.6666666666666666,,,
Ciências Economicas - Noturno,4,4,Comite_Arvores_XGB_LGBM_CatBoost,0.46964286097434527,0.7804878048780488,0.7644028595458369,0.625,0.9092948717948719,0.8281821718586424,0.1508023447828598,0.1418956957735395,1.7,1340,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.7,0.3214285714284078,0.3392857142855416,0.3392857142855416
Ciências Economicas - Noturno,4,5,XGBoost,0.46666666865348816,0.5365853658536586,0.5078508414263474,0.5957446808510638,0.698076923076923,0.5113942121564072,0.19660331748832227,0.2494166155232251,1.7,1341,191,120,71,0.3717277486910995,29,18,11,0.3793103448275862,82,52,30,0.36585365853658536,0.7333333333333333,,,
