curso,periodo,modelo,n,f1_pos_media,f1_pos_dp,f1_pos_val_media,f1_pos_val_dp,f1_weighted_media,f1_weighted_dp,acuracia_media,acuracia_dp,roc_auc_media,roc_auc_dp,avg_precision_media,avg_precision_dp,brier_cal_media,brier_cal_dp,threshold_media,threshold_dp
Direito - Noturno,4,XGBoost,30,0.48594297745626797,0.12501694245103254,0.655689599071952,0.11155882759210108,0.8951537499390473,0.018411001482450968,0.9035426731078905,0.01962262044295698,0.8212114051669819,0.06374169560252507,0.5066049332854072,0.10709118003862464,0.07370155842781151,0.01230870201296112,0.620396825671196,0.2536875996022557
Direito - Noturno,4,LightGBM,30,0.49612115814087143,0.11205580605211775,0.663729523830143,0.12127948287875145,0.8952755788505052,0.01699160604723669,0.9017713365539455,0.01872391865217215,0.8193131695022055,0.05852832137385675,0.513129625926463,0.10441270265975923,0.0737583395904963,0.01467940416764647,0.6584920634920635,0.27602395317458867
Direito - Noturno,4,CatBoost,30,0.527687460095486,0.11849269411263665,0.6690602652135162,0.12111452558947691,0.8982067237302958,0.023954590827236704,0.9017713365539453,0.029840668302476007,0.8430726212980467,0.05256707947522656,0.542040870215472,0.08373608319528446,0.0701309370197157,0.009574601617719135,0.5537097162097162,0.2364258668006604
Direito - Noturno,4,Comite_Arvores_XGB_LGBM_CatBoost,30,0.49495618649169365,0.14076222462296814,0.7172266693861122,0.1036306801616905,0.8972060229217909,0.019121249271232075,0.9054750402576489,0.01561332594483222,0.8548125393824827,0.04861672721298274,0.6056568175690678,0.09170281001404407,0.06774718687785851,0.010010795981321017,0.489567399860153,0.204331366119588
