nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_outra,etnia_parda,etnia_preta
745.3,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0
712.78,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
442.3,1,0,0,0,1,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,1,0
709.72,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1
832.16,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
650.6,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
662.5,1,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
681.36,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
680.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
712.36,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0
544.8,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,2,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0
770.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
786.65,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
414.2,1,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
626.34,0,1,0,0,1,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0
724.32,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
613.44,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
732.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
657.92,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0
563.56,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0
652.9,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
701.08,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
835.75,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
541.4,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
371.0,1,0,0,0,0,0,1,1,0,1,0,0,3,3,0,0,0,0,0,1,2,4,0,0,0,0,0,1,1,0,0
725.06,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0
670.26,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
542.3,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
722.14,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
651.58,0,1,0,0,1,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,3,3,0,1,0,0,0,1,0,1,0
788.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
537.6,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
703.86,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
719.2,1,0,0,0,1,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0
667.86,0,1,0,0,1,0,1,0,0,1,0,0,3,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0
698.0,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
869.85,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
723.18,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
185.0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
623.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0
448.5,1,0,0,0,0,0,1,1,0,0,1,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0
419.4,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
694.0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
633.26,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,1,0
793.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
590.94,0,1,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
