NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_OUTRA,etnia_PARDA,etnia_PRETA
537.6,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
770.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
722.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
669.94,0,1,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
572.48,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1
725.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
414.3,1,0,0,0,1,0,1,0,0,0,1,0,4,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0
733.02,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1022.7,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
647.8,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,1,0
829.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
542.3,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
710.64,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
667.6,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
747.9,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0
667.66,0,1,0,0,0,0,1,0,0,1,0,0,8,2,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
567.8,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
895.55,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
541.4,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
618.86,0,1,0,0,1,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0
488.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
574.6,0,1,0,0,1,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,1,0
630.78,0,1,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
632.6,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
734.92,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
648.08,0,1,0,0,1,0,1,1,0,1,0,0,1,0,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
478.3,1,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0
657.76,0,1,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0
623.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0
617.9,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
674.78,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
437.2,1,0,0,0,0,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
705.12,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
626.34,0,1,0,0,1,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0
659.02,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,1,0
673.26,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
692.75,1,0,0,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
701.84,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
688.1,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0
915.0,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
613.44,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
606.7,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
756.56,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
748.22,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
544.1,0,1,0,0,1,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0
745.98,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
576.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
570.36,0,1,0,0,1,0,1,1,0,1,0,0,3,2,0,1,0,0,0,1,2,3,0,0,0,0,0,1,0,1,0
653.94,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
731.54,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
651.6,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,1,0,1,0,1,0,1,0,0,0
645.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
653.24,0,1,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0
375.0,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0
723.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
738.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
902.3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
719.1,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
653.05,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
634.72,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,1,0
918.6,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,1,0
596.62,0,1,0,0,1,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1
649.24,0,1,0,0,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0
593.32,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0
650.6,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
967.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
743.54,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
618.65,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
638.1,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
414.2,1,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
653.9,0,1,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
518.15,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0
759.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
0.0,1,0,0,0,1,0,1,1,0,0,1,0,4,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,0
524.0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
638.3,0,1,0,0,1,0,1,1,0,1,0,0,11,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0
619.54,0,1,0,0,1,0,1,1,0,0,1,0,3,1,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0
825.6,1,0,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
668.72,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0
698.7,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
759.65,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
590.94,0,1,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
922.2,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
876.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
668.58,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
715.68,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
597.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0
565.5,1,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
646.54,0,1,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,3,3,0,0,0,0,0,1,0,0,0
698.0,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
642.24,0,1,0,0,1,0,1,0,0,1,0,0,6,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
509.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
665.24,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0
601.4,0,1,0,0,0,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
711.78,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
557.3,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
612.24,0,1,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,4,1,0,1,0,0,0,1,0,1,0
185.0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
684.5,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
549.2,1,0,0,0,0,0,1,1,0,1,0,0,5,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
707.9,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
694.84,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
680.74,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0
709.72,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1
684.12,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
703.58,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
710.68,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0
850.45,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
