modelo,n,f1_pos_media,f1_pos_dp,f1_pos_max,f1_pos_min,f1_pos_val_media,f1_pos_val_dp,f1_pos_val_max,f1_pos_val_min,f1_weighted_media,f1_weighted_dp,f1_weighted_max,f1_weighted_min,acuracia_media,acuracia_dp,acuracia_max,acuracia_min,roc_auc_media,roc_auc_dp,roc_auc_max,roc_auc_min,avg_precision_media,avg_precision_dp,avg_precision_max,avg_precision_min,brier_pre_media,brier_pre_dp,brier_pre_max,brier_pre_min,brier_cal_media,brier_cal_dp,brier_cal_max,brier_cal_min,threshold_media,threshold_dp,threshold_max,threshold_min
XGBoost,30,0.5361401500248869,0.07286125909190148,0.6575342465753424,0.37209302325581395,0.6338109259562528,0.08608868038892632,0.7777777777777778,0.41509433962264153,0.7762405194076518,0.091964595233018,0.8515442574805613,0.43484039702446026,0.7793981481481483,0.0986776531705825,0.8541666666666666,0.4305555555555556,0.7877092633928572,0.045565790952042814,0.853515625,0.6768973214285714,0.5534529010900183,0.05713203764352851,0.6647941278844007,0.4257241790540971,0.1401030078145392,0.0171602372796111,0.17744645366737247,0.10803263277545588,0.13400615413219513,0.01486572493216961,0.1892190735994656,0.11182925369944309,0.46352164695660275,0.19564577848147352,0.9999999403953552,0.2142857164144516
LightGBM,30,0.5307067942425344,0.05945907851703178,0.6388888888888888,0.3902439024390244,0.6333884341874539,0.10040051911128087,0.8571428571428571,0.4074074074074074,0.7592821970762861,0.10809076965814289,0.8352535793879885,0.23725850161727424,0.7587962962962963,0.1051486634561362,0.8611111111111112,0.3055555555555556,0.7911365327380953,0.0357199479715927,0.8621651785714286,0.7137276785714286,0.5599962624454722,0.06138288654025474,0.706786774382425,0.4172046675549862,0.14501367906779952,0.010767739825846933,0.16785468984231572,0.11951788597511083,0.13503085145292032,0.016639154257784627,0.19606938805040044,0.11126108399281069,0.4428219117671451,0.2242209985912339,1.0,0.2
CatBoost,30,0.5309778903332707,0.07051831726328323,0.6557377049180327,0.34146341463414637,0.6790524634828496,0.08009401367405423,0.782608695652174,0.4,0.7839061312501436,0.05602869694236087,0.8515442574805613,0.5490208806664503,0.7868055555555554,0.06697339738127463,0.8541666666666666,0.5277777777777778,0.7996047247023809,0.03657487930989173,0.875,0.7233537946428572,0.5704896541552673,0.05852050151712573,0.6946855181305813,0.4695261792301266,0.14446606620183958,0.015675278691414014,0.19256236657246084,0.11629263803035281,0.1336794115800213,0.015767991376786323,0.16864620245379688,0.10263861387291379,0.5441781257957728,0.19617860927050504,1.0,0.2
Comite_Arvores_XGB_LGBM_CatBoost,30,0.5490474378428886,0.08042305331647333,0.6779661016949152,0.3076923076923077,0.7115579267280034,0.082674833553932,0.8571428571428571,0.45714285714285713,0.8008853575738869,0.03446889744467379,0.8639051307987731,0.732091063869878,0.8046296296296297,0.04245902971559259,0.8680555555555556,0.7152777777777778,0.8174525669642859,0.03674427447808442,0.888671875,0.7516741071428571,0.6254124656083008,0.05760370487208716,0.7601338618213946,0.4838368547425194,0.13686929554950977,0.010723800235741316,0.16248750791600713,0.11240238295885718,0.1269174680836146,0.01366708115410971,0.17605059009918964,0.10148832350015617,0.40072237933580923,0.16030618105869274,0.9999999801313564,0.21254940572748193
