curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Medicina,4,1,XGBoost,0.6666666865348816,0.9731903485254692,0.9622022874647225,0.16666666666666666,0.8578603716725264,0.5194905706363039,0.01748013288739808,0.01889093826496903,20.0,1337,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.5714285714285714,,,
Medicina,4,1,LightGBM,0.6666666666666666,0.9758713136729222,0.9676672058232284,0.3076923076923077,0.8402812656956303,0.4818181818181818,0.018070784532203687,0.018487547206416224,20.0,1337,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.5714285714285714,,,
Medicina,4,1,CatBoost,0.6666666666666666,0.9758713136729222,0.9676672058232284,0.3076923076923077,0.8405323957810146,0.3771929824561403,0.03972778949134545,0.021700233096128195,20.0,1337,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.5714285714285714,,,
Medicina,4,1,Comite_Arvores_XGB_LGBM_CatBoost,0.23333333333319722,0.9785522788203753,0.9762281210002389,0.5555555555555556,0.9026870919136112,0.5473154227252588,0.019308417533027512,0.01908440671531285,34.095238095238095,1337,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.6,0.33333333333313886,0.33333333333313886,0.33333333333313886
Medicina,4,2,XGBoost,0.6666666865348816,0.9731903485254692,0.9718867938463356,0.5,0.8954043194374686,0.31681791173769785,0.02196461321443124,0.022028708250114434,20.0,1338,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.5714285714285714,,,
Medicina,4,2,LightGBM,1.0,0.9758713136729222,0.9724057232862363,0.47058823529411764,0.8602461074836766,0.3762672592606917,0.0260185077925644,0.02695262942421624,20.0,1338,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.6666666666666666,,,
Medicina,4,2,CatBoost,0.5,0.9785522788203753,0.9775094350770687,0.6,0.8303616273229533,0.41012383505681094,0.03971337689447493,0.020517777784468273,20.0,1338,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.75,,,
Medicina,4,2,Comite_Arvores_XGB_LGBM_CatBoost,0.29640718634242147,0.967828418230563,0.9691243418267695,0.5,0.8905072827724761,0.4219097117352931,0.024762414496461837,0.021120235708013906,34.095238095238095,1338,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.75,0.2874251497004542,0.33532934131719655,0.37724550898184617
Medicina,4,3,XGBoost,1.0,0.9758713136729222,0.9724057232862363,0.47058823529411764,0.842164741336012,0.504201668645134,0.01870980077558234,0.01774166332936274,20.0,1339,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.8571428571428571,,,
Medicina,4,3,LightGBM,1.0,0.9731903485254692,0.9682737155238899,0.375,0.9110999497739829,0.49790562303989616,0.020042731829531753,0.021114831109223953,20.0,1339,868,843,25,0.02880184331797235,131,127,4,0.030534351145038167,373,362,11,0.029490616621983913,0.8571428571428571,,,
